uuid,name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26,Child.27,child.28,child.29,child.30,child.31,child.32,child.33,child.34,child.35,child.36,child.37,child.38,child.39,child.40,child.41,child.42,child.43,child.44,child.45,child.46,child.47,child.48,child.49,child.50,child.51,child.52,child.53,child.54,child.55,child.56,child.57,child.58,child.59,child.60,child.61,child.62,child.63,child.64,datatype,reference-term-source,reference-term-code,reference-term-relationship
,"PPN, Assessment of Wound",,Misc,Assessment of Wound,"PPN, Side of wound","PPN, Site of wound","PPN, Wound assessment","PPN, Description of wound","PPN, Description of wound, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"PPN, Removal of Drain",,Misc,Removal of Drain,"PPN, Specify side of drain removal","PPN, Specify site of drain removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Physician Progress Note-Ward,,Convset,Physician Progress Note-Ward,"PPN, Date recorded","PPN, Patient complaints","PPN, Patient complaints, other","PPN, Patient appetite","PPN, Assessment of Wound","PPN, Drainage","PPN, Drainage, other","PPN, Assessment of patient","PPN, Assessment of patient, other","PPN, Surgeon informed of patient assessment","PPN, Surgical ward patient care plan","PPN, Surgical ward patient care plan, other","PPN, Removal of Drain","PPN, Surgical ward patient care plan, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"CC, Complications",,Misc,Complications,"CC, Patient complication","CC, Start date of complication","CC, Anemia due to acute blood loss, description","CC, Anaesthetic complication in OT, description","CC, Antibiotic adverse reaction, description","CC, Cardiac arrhythmia, description","CC, Flap necrosis, description","CC, Pressure ulcer, description","CC, Description of complication","CC, Outcome of complication","CC, End date of complication",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Complications Set,,Convset,Complications,"CC, Complications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"WWN, Vital Signs",,Misc,Vital Signs,"WWN, Temperature","WWN, Pulse","WWN, Respiratory rate","WWN, Systolic blood pressure","WWN, Diastolic blood pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"WWN, Pain Assessment",,Misc,Pain Assessment,"WWN, Pain Severity","WWN, Side of pain","WWN, Site of pain","WWN, Type of pain","WWN, When does the pain occur ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"WWN, Drainage Set",,Misc,Drainage,"WWN, Side of drain","WWN, Site of drain","WWN, Drainage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"WWN, Dressing",,Misc,Dressing,"WWN, Side of dressing","WWN, Site of dressing","WWN, Description of wound","WWN, Description of wound, other","WWN, Dressing, comments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"WWN, Tissue Expander",,Misc,Tissue Expander,"WWN, Site of tissue expander","WWN, Quantity injected","WWN, Quantity withdrawn","WWN, Total volume in tissue expander","WWN, Condition of tissue expander",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
