uuid,name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26,Child.27,child.28,child.29,child.30,child.31,child.32,child.33,child.34,child.35,child.36,child.37,child.38,child.39,child.40,child.41,child.42,child.43,child.44,child.45,child.46,child.47,child.48,child.49,child.50,child.51,child.52,child.53,child.54,child.55,child.56,child.57,child.58,child.59,child.60,child.61,child.62,child.63,child.64,datatype,reference-term-source,reference-term-code,reference-term-relationship
,BMI Data,,Concept Details,BMI,BMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"VS, Blood pressure",,Convset,Blood Pressure,"VS, Systolic blood pressure","VS, Diastolic blood pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"VS, Blood glucose",,Convset,Blood glucose(on presentation),"VS, Fasting","VS, Random",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,CIEL,163387,SAME-AS
,Baseline Vital Signs,,Convset,Baseline Vital Signs,"VS, Date recorded",Weight,Height,BMI Data,"VS, Respiratory Rate","VS, Temperature","VS, Pulse","VS, Blood pressure","VS, Blood oxygen saturation","VS, Blood glucose","VS, Comments about baseline vital signs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"SMH, Medication",,misc,Medication,"SMH, Type of medication","SMH, Dose and freqency","SMH, Date of last dose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"SMH, Allergy and Medication history",,Misc,Allergy and Medication history,"SMH, History of Allergy","SMH, Comments about allergy","SMH, Currently taking medication","SMH, Medication",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"SMH, Pain Assessment",,Misc,Pain Assessment,"SMH, Pain severity","SMH, Side of pain","SMH, Site of pain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"SMH, Wound Assessment",,Misc,Wound Assessment,"SMH, Number of wounds","SMH, Site","SMH, Description",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Social and Medical History,,Convset,Social and Medical History,"SMH, Date of consultation","SMH, Marital status","SMH, Highest education level","SMH, Pregnancy status","SMH, Current smoker","SMH, Number of cigarettes per day","SMH, Duration of smoking (in years)","SMH, Drug and Alcohol use","SMH, Medical History","SMH, Other medical problems",Allergy and Medication history,Pain Assessment,Wound Assessment,"SMH, Nursing notes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Health Education,,Convset,Health Education,"HE, Date of consultation","HE, External devices, present","HE, Other type of external device","HE, Nutritional Assessment","HE, Personal hygiene","HE, SMFA functional index","HE, SMFA bothersome index","HE, Education learning needs","HE, Referral care Plan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
