uuid,name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26,child.27,child.28,child.29,child.30,child.31,child.32,child.33,child.34,child.35,child.36,child.37,child.38,child.39,child.40,child.41,child.42,child.43,child.44,child.45,child.46,child.47,child.48,child.49,child.50,child.51,child.52,child.53,child.54,child.55,child.56,child.57,child.58,child.59,child.60,child.61,child.62,child.63,child.64,datatype,reference-term-source,reference-term-code,reference-term-relationship
,"MPA, Independence of Patient",,Misc,Independence of Patient,"MPA, Grooming","MPA, Feeding","MPA, Dressing","MPA, Toilet use","MPA, Transfers","MPA, Stairs","MPA, Mobility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MPA, Functional status of the patient",,Misc,Functional status of the patient,"MPA, Can the patient chew, whistle, blow off a candle?","MPA, Comments about patient's ability to chew, whistle, blow off a candle","MPA, Movement difficulty of facial muscles","MPA, Describe difficulty of movement for facial muscles","MPA, Movement difficulty of eyes","MPA, Describe difficulty of movement for eyes","MPA, Movement difficulty of mouth","MPA, Describe difficulty of movement for mouth","MPA, Movement difficulty of tongue","MPA, Describe difficulty of movement for tongue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MPA, Pain Assessment",,Misc,Pain Assessment,"MPA, Pain Severity","MPA, Side of pain","MPA, Site of pain","MPA, Site, Other","MPA, Type of pain","MPA, When does the pain occur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MPA, Objective examination",,Misc,Objective examination,"MPA, Observation","MPA, Palpation","MPA, Muscle strength","MPA, Muscle control","MPA, AROM","MPA, AROM, comments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MPA, Functional examination",,Misc,Functional examination,"MPA, Mouth opening test",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MPA, Physical Function",,Misc,Physical Function,"MPA, How much difficulty did you have keeping food in your mouth, moving food around in your mouth, or getting food stuck in your cheek while eating?","MPA, How much difficulty did you have drinking from a cup?","MPA, How much difficulty did you have saying specific sounds while speaking?","MPA, How much difficulty did you have with your eye tearing excessively or becoming dry?","MPA, How much difficulty did you have with chewing your usual solid food?","MPA, Physical Function Score",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MPA, Social Function",,Misc,Social Function,"MPA, How much of the time have you felt calm and peaceful?","MPA, How much of the time did you isolate yourself from people around you?","MPA, How much of the time did you get irritable toward those around you?","MPA, How often did you wake up early or wake up several times during your nighttime sleep?","MPA, How often has your facial function kept you from going out to eat, shop, or participate in family or social activities?","MPA, Social Wellbeing Score",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MPA, Facial Disability Index","Please tick the most appropriate response to the following questions related to problems associated with the function of your facial muscles. For each question, consider your function during the past month",Misc,Facial Disability Index,"MPA, Physical Function","MPA, Social Function","MPA, Total score (FDI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"MPA, Followup Plan
",,Misc,Follow-up Plan,"MPA, Referral suggested","MPA, Referral suggested, comments","MPA, Recommended physiotherapy treatment plan","MPA, Home exercises / Family training","MPA, Points to consider / Special concerns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Maxillofacial Physio Assessment,,ConvSet,Maxillofacial Physio Assessment,"MPA, Date recorded","MPA, Type of assessment","MPA, Previous history of physiotherapy","MPA, Details of previous physiotherapy","MPA, Chief complaint of patient","MPA, Problem List","MPA, Independence of Patient","MPA, Functional status of the patient","MPA, Pain Assessment","MPA, Summary neurological examination (sensation)","MPA, Summary neurological examination (sensation), comments","MPA, Objective examination","MPA, Functional examination","MPA, Facial Disability Index","MPA, Additional comments","MPA, Followup Plan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,Medical Doctor OPD Follow-up,,ConvSet,Medical Doctor OPD Follow-up,"MDOF, Date recorded","MDOF, Reason for visit","MDOF, Medication renewal, comments","MDOF, New complaint of patient","MDOF, Comments about pain","MDOF, Comments about patient's medical complaints","MDOF, Complaint of patient (ABx clinic)","MDOF, Status of wound","MDOF, Kidney function","MDOF, Liver function","MDOF, Plan","MDOF, Plan, other","MDOF, Consultation notes, ABx clinic","MDOF, Medical course of patient in RSP","MDOF, Condition of patient at discharge (TRM)","MDOF, Condition at discharge, other","MDOF, Discharge medication","MDOF, Type of medication","MDOF, Dose and frequency","MDOF, Duration","MDOF, Medical follow-up needs ","MDOF, Reason for visit, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PNF, Nociceptive pain",,Misc,Nociceptive pain,"PNF, Pain severity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PNF, Questionnaire DN4","To estimate the probability of neuropathic pain, the patient must answer ''yes'' or ''no'' to each item ",Misc,Questionnaire DN4,"PNF, Burning","PNF, Painful cold","PNF, Electrical Shocks","PNF, Tingling","PNF, Pins and Needles","PNF, Numbness","PNF, Itching","PNF, Touch hypoesthesia","PNF, Pricking hypoesthesia","PNF, Light Brushing","PNF, Patient score",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PNF, Dressing",,Misc,Dressing,"PNF, Side of dressing","PNF, Site of dressing","PNF, Description of wound","PNF, Dressing, comments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
