uuid,name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26,Child.27,child.28,child.29,child.30,child.31,child.32,child.33,child.34,child.35,child.36,child.37,child.38,child.39,child.40,child.41,child.42,child.43,child.44,child.45,child.46,child.47,child.48,child.49,child.50,child.51,child.52,child.53,child.54,child.55,child.56,child.57,child.58,child.59,child.60,child.61,child.62,child.63,child.64,datatype,reference-term-source,reference-term-code,reference-term-relationship
,"LLA, Independence of Patient",,Misc,Independence of Patient,"LLA, Grooming","LLA, Feeding","LLA, Dressing","LLA, Toilet use","LLA, Transfers","LLA, Stairs","LLA, Mobility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Stump circumference",,Misc,Stump circumference,"LLA, From","LLA, cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Level of amputation",,Misc,Level of amputation,"LLA, Type of amputation","LLA, Other type of amputation","LLA, Side of amputation","LLA, Stump circumference","LLA, Comments about stump","LLA, Is the patient using a prostheses?","LLA, Comments about prostheses usage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Leg Length Discrepancy (LLD)",,Misc,Leg Length Discrepancy (LLD),"LLA, True (reference point)","LLA, Functional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Pain Assessment",,Misc,Pain Assessment,"LLA, Pain Severity","LLA, Side of pain","LLA, Site of pain","LLA, Site, Other","LLA, Type of pain","LLA, When does the pain occur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, R.O.M Test for Lower Limbs Left",,Misc,Left,"LLA ROM, Left : Hip flex.","LLA ROM, Left : Hip ext.","LLA ROM, Left : Int. Rotation","LLA ROM, Left : Ext. Rotation","LLA ROM, Left : Abduction","LLA ROM, Left : Adduction","LLA ROM, Left : Knee flex.","LLA ROM, Left : Knee ext.","LLA ROM, Left : Ankle dorsiflex.","LLA ROM, Left : Ankle planterflex","LLA ROM, Left : Ankle inversion","LLA ROM, Left : Ankle eversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, R.O.M Test for Lower Limbs Right",,Misc,Right,"LLA ROM, Right : Hip flex.","LLA ROM, Right : Hip ext.","LLA ROM, Right : Int. Rotation","LLA ROM, Right : Ext. Rotation","LLA ROM, Right : Abduction","LLA ROM, Right : Adduction","LLA ROM, Right : Knee flex.","LLA ROM, Right : Knee ext.","LLA ROM, Right : Ankle dorsiflex.","LLA ROM, Right : Ankle planterflex","LLA ROM, Right : Ankle inversion","LLA ROM, Right : Ankle eversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, R.O.M Test for Lower Limbs",,Misc,R.O.M Test for Lower Limbs,"LLA, R.O.M Test for Lower Limbs Left","LLA, R.O.M Test for Lower Limbs Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Sensation",,Misc,Sensation,"LLA, Summary neurological examination (sensation)","LLA, Summary neurological examination (sensation), comments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Superior gluteal Left",,Misc,Left,"LLA, Left : Gluteus medius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Superior gluteal Right",,Misc,Right,"LLA, Right : Gluteus medius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Superior gluteal",,Misc,Superior gluteal,"LLA, Superior gluteal Left","LLA, Superior gluteal Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Inferior gluteal, Left",,Misc,Left,"LLA, Left : Gluteus maxi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Inferior gluteal, Right",,Misc,Right,"LLA, Right : Gluteus maxi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Inferior gluteal",,Misc,Inferior gluteal,"LLA, Inferior gluteal, Left","LLA, Inferior gluteal, Right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Femoral Left",,Misc,Left,"LLA, Left : Quadriceps","LLA, Left : Illiopsoas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
,"LLA, Femoral Right",,Misc,Right,"LLA, Right : Quadriceps","LLA, Right : Illiopsoas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
